Customer ID,Credit Score,Existing Loans,Utilization,Missed Payments (12M),Total Outstanding Debt,Debt-to-Income Ratio
1,840,2,0.29,2,217452.41,0.46
2,720,3,0.25,1,369726.66,0.76
3,640,4,0.57,2,286420.1,0.25
4,610,5,0.81,3,397305.32,0.48
5,600,3,0.99,5,238164.72,0.13
6,790,5,0.05,2,104468.77,0.44
7,790,5,0.21,2,1515.98,0.3
8,640,3,0.84,2,47362.16,0.57
9,700,2,0.36,5,475495.06,0.49
10,710,1,0.81,3,210394.33,0.46
11,720,4,0.37,1,250135.05,0.56
12,670,3,0.24,6,81063.33,0.4
13,690,5,0.98,2,173548.56,0.24
14,680,3,0.28,4,108905.24,0.71
15,750,0,0.89,0,83220.21,0.56
16,620,1,0.95,6,183098.3,0.23
17,630,5,0.3,4,385027.41,0.62
18,700,2,0.46,5,99253.08,0.63
19,670,5,0.77,1,420552.63,0.29
20,690,2,0.56,2,26006.15,0.59
21,620,3,0.75,1,278181.44,0.69
22,610,5,0.94,3,132425.73,0.55
23,820,4,0.48,1,1502.02,0.19
24,570,3,0.42,6,465162.65,0.71
25,570,4,0.79,6,35539.25,0.39
26,610,4,0.57,3,241817.06,0.69
27,790,1,0.35,2,471117.03,0.38
28,720,2,0.48,6,66989.12,0.27
29,730,2,0.21,4,74682.59,0.67
30,850,0,0.14,0,140592.29,0.59
31,800,0,0.69,0,11640.54,0.32
32,850,0,0.26,0,498313.33,0.38
33,670,4,0.34,6,116916.27,0.35
34,630,3,0.27,4,331244.67,0.51
35,790,2,0.26,2,92476.0,0.55
36,750,0,0.59,0,439499.35,0.49
37,630,5,0.85,4,3476.94,0.5
38,670,1,0.06,6,153440.06,0.72
39,700,2,0.48,5,91305.13,0.78
40,660,4,0.91,3,113528.87,0.33
41,900,0,0.41,0,148455.45,0.34
42,900,0,0.18,0,48047.36,0.23
43,470,5,0.76,6,294299.06,0.59
44,750,5,0.4,0,425453.29,0.69
45,850,0,0.2,0,344938.31,0.29
46,630,2,0.74,4,360675.65,0.21
47,720,4,0.99,1,161461.87,0.42
48,640,5,0.98,2,328733.85,0.31
49,870,2,0.1,1,14662.5,0.44
50,630,1,0.75,4,219122.59,0.63
51,750,0,0.66,0,31612.68,0.73
52,820,1,0.22,1,132354.87,0.68
53,750,0,0.95,0,341696.55,0.26
54,630,3,0.34,4,402125.83,0.56
55,520,3,0.79,6,85669.3,0.68
56,720,4,0.14,1,289826.15,0.75
57,560,3,0.64,3,301169.7,0.76
58,550,3,0.63,5,290278.61,0.23
59,700,5,0.68,0,473828.22,0.43
